FID,ref_tn_cod,id_thiesse,type,area_m2,road_density_mean,school_kde_mean
14221,245854,1432,0,3032165.186458868,0.01665933662416791,0.0036242276008069917
14222,245854,1432,0,4126934.987388594,0.0180221481909379,0.00850785836493809
14223,225951,1572,0,109315.64848394114,0.03694652020931244,0.007283612107858062
14224,215358,1642,0,395097.65955610323,0.02407274190336466,0.033817740995436905
14225,115459,3760,1,2.0366358734775347,0.0,0.0
14226,115459,3760,1,2.3727655547675353,0.0,0.0
14227,115459,3760,1,18.04923193864904,0.0,0.0
14228,115459,3760,1,1956.026595979993,0.0,0.0
14229,115459,3760,1,21.795870489699748,0.879240870475769,0.794414758682251
14230,115459,3760,1,4.402659328283804,0.0,0.0
14231,115459,3760,1,56.800163219690596,0.0,0.0
14232,115459,3760,1,766.0451399051008,0.0,0.0
14233,115459,3760,1,1.70215262527815,0.0,0.0
14234,115459,3760,1,426.4948132547466,0.0,0.0
14235,115459,3760,1,36869.7311818721,0.8837334215641022,0.7763037085533142
14236,435258,892,0,9047799.45878316,0.029741427117748034,0.028042096584754483
14237,346555,2794,0,139640.65247219513,0.045164843607279986,0.01047907236433174
14238,346555,2794,0,15489878.484208958,0.044181052689352594,0.005529966073601685
14239,335654,3095,0,2418605.9506095466,0.011601851117789498,0.062385863093428376
14240,335654,3095,0,3056764.0165440873,0.011591009177857697,0.05852270948857364
14241,136051,3547,1,46982.41739518245,0.45899220556020737,0.33244212716817856
14242,615152,385,0,733906.8110320074,0.00727126866235937,0.016436081024278935
14243,435753,415,0,7118.40014806424,0.016101207584142685,0.01589275151491165
14244,215364,1642,0,2427179.0753194536,0.02306916767064436,0.035300591263015574
14245,215364,1642,0,899.1836800033893,0.0,0.0
14246,246056,1923,0,103414.0948074924,0.023106277158314533,0.013745089061558247
14247,215160,2021,0,2698457.012743188,0.018048366586919183,0.01064025905345463
14248,175654,2168,0,970632.7211901001,0.027347153206307862,0.018127949442714453
14249,335351,3042,0,1355247.3999292182,0.0063254740089178085,0.03424779559923884
14250,635152,305,1,814444.5189641339,0.04831574430846306,0.01025904417711209
14251,245853,1707,0,13527991.587658571,0.013499391633202837,0.009844826165197398
14252,426153,251,0,3981808.4888846073,0.017600219855880617,0.05308433701682031
14253,426153,251,0,9849.223878655215,0.017682574689388275,0.06417686492204666
14254,426153,251,0,1628036.7088077294,0.017526542620233645,0.05951214527211538
14255,115251,3757,1,97.38358112127625,0.0,0.0
14256,345251,3120,1,69.74236439149719,0.0,0.0
14257,345251,3120,1,155.1787116515096,0.0,0.0
14258,345251,3120,1,20.939310478279552,0.0,0.0
14259,345251,3120,1,40.80276301207786,0.0,0.0
14260,345251,3120,1,74114.95912566216,0.2808905839920044,0.42751578986644745
14261,115353,3785,1,939.8938837815979,0.0,0.0
14262,115353,3785,1,24323.649887268093,0.9401955008506775,0.5474278926849365
14263,115353,3785,1,1088.0341481415192,0.0,0.0
14264,335356,3037,0,130063.67212861628,0.009576679207384586,0.040012701199604914
14265,215164,1619,0,3715524.266417253,0.07222790828322977,0.013466677070673566
14266,116754,3788,1,125738.9473049063,0.9066992203394572,0.6146520525217056
14267,116754,3788,1,198.28177445755696,0.0,0.0
14268,116754,3788,1,39761.321041654504,0.8993434309959412,0.6202667653560638
14269,116754,3788,1,510.3719777366934,0.0,0.0
14270,345858,3217,0,7971963.228243464,0.046823477156264955,0.04111899070897501
14271,436254,1023,0,3335339.114434235,0.01518304929069702,0.020169144023626233
14272,425555,855,0,1244857.331243556,0.01515379955717286,0.02375521084873891
14273,425555,855,0,76096.28195911983,0.016748130321502686,0.02072322368621826
14274,225953,1587,0,891331.705221806,0.04144510191478086,0.044919800850447646
14275,515852,2373,0,161349.2035177526,0.010007347290714582,0.0
14276,236159,1465,0,729.3233538899927,0.0,0.0
14277,215761,2002,0,104421.66057524178,0.04584862950902719,0.0
14278,236056,1455,0,6098990.404970057,0.026719472471807823,0.05275604284872286
14279,236056,1455,0,556769.8563143599,0.025677693354194623,0.03180545333184694
14280,425656,959,0,22172644.236865163,0.018441146659069704,0.011601876550942018
14281,535159,2420,0,522398.3643061846,0.028645665867737046,0.03993680255694522
14282,116855,3602,1,715.6912149901832,0.0,0.0
14283,116855,3602,1,3957.5109767914646,0.0,0.0
14284,426353,29,0,28232.33750155672,0.009631971828639507,0.0006523235351778567
14285,225951,1602,0,22000.740181868987,0.04068430016438166,0.053252071142196655
14286,225951,1602,0,4226157.960635207,0.04168959568323554,0.029348014462694774
14287,225951,1602,0,1203323.7637011823,0.04087796182302404,0.04625562090457471
14288,345251,3123,1,3410.5029773996816,0.28665897250175476,0.5011832118034363
14289,345251,3123,1,331.7124746807176,0.0,0.0
14290,345251,3123,1,66.33932823248097,0.0,0.0
14291,345251,3123,1,96.2225648713625,0.0,0.0
14292,435756,712,0,12237026.15869695,0.020110222898854797,0.02731517513495883
